id,origin,transfer,STI,CP,NT
,,"everyone that i asked with was very helpful and kind .
everyone that i asked with was very helpful and kind .",3,1,1
,,"everyone that i spoke with was very helpful and kind .
everyone that i spoke with was very helpful and kind .",3,1,1
89,"these two women are professionals .
these two women are professionals .","i 'm not sure why these two women are professionals .
i ' m MASK sure why these two women are professionals .",2,1,1
,,"these two these are nothing .
these two these are MASK .",2,2,3
,,"these two women are professionals .
these two women are professionals .",3,1,1
90,"very nice location for weekend volleyball tournaments !
very MASK location for weekend volleyball tournaments !","i was _num_ minutes early for weekend the volleyball was supposed to have 4-6 !
i was _ num _ minutes early for weekend the volleyball was supposed to have 4 - 6 !",2,2,2
,,"very nice location for _num_ minutes later later later ( get some !
very MASK location for _ num _ minutes later later later ( get some !",3,2,3
,,"not nice location for weekend volleyball tournaments !
MASK MASK location for weekend volleyball tournaments !",1,1,1
91,"go here , you will love it .
go here , you will MASK it .","if you can go here i will never go back here i will i .
if you can go here i will never go back here i will i .",3,2,3
,,"go here , you will be it .
go here , you will be it .",3,1,2
,,"go here , you will not love it .
go here , you will MASK MASK it .",1,1,1
92,"family owned little and i mean little restaurant with absolutely amazing food .
family owned little and i mean little restaurant with absolutely MASK food .","little and i mean little restaurant with very poor service .
little and i mean little restaurant with very MASK service .",1,2,2
,,"family ( little and i mean little restaurant with absolutely food food .
family ( little and i mean little restaurant with absolutely food food .",2,2,3
,,"unfortunately owned little and i mean little restaurant with absolutely poor food .
MASK owned little and i mean little restaurant with absolutely MASK food .",1,2,2
93,"if you sit in the bar they have the best bartender in town .
if you sit in the bar they have the MASK bartender in town .","avoid this place if you sit in the bar in town .
MASK this place if you sit in the bar in town .",2,2,2
,,"if you walk in the bar they have the worst in in town .
if you walk in the bar they have the MASK in in town .",1,2,3
,,"if you sit in the bar they have the worst bartender in town .
if you sit in the bar they have the MASK bartender in town .",1,1,1
94,"everything they serve there is wonderful .
everything they serve there is MASK .","everything they serve there does n't seem to be like .
everything they serve there does MASK seem to be like .",2,2,2
,,"everything they serve there is terrible .
everything they serve there is MASK .",1,1,1
,,"everything they serve there is gross .
everything they serve there is MASK .",1,1,1
95,"pei wei has fair prices , fast service , and wonderful outdoor seating .
pei wei has fair prices , fast service , and MASK outdoor seating .","pei wei has very limited outdoor seating .
pei wei has very limited outdoor seating .",1,2,1
,,"_num_ minutes has has prices , fast service , and and even .
_ num _ minutes has has prices , fast service , and and even .",3,2,3
,,"pei wei has fair prices , fast service , and no outdoor seating .
pei wei has fair prices , fast service , and MASK outdoor seating .",2,1,1
96,"this place has some great food .
this place has some MASK food .","this place has some some of the worst service .
this place has some some of the MASK service .",1,1,2
,,"this place has some bad food .
this place has some MASK food .",1,1,1
,,"this place has some bad food .
this place has some MASK food .",1,1,1
97,"i highly recommend this bakery !
i highly MASK this bakery !","do not get my new establishments !
do MASK get my new establishments !",2,3,1
,,"i highly recommend this company !
i highly MASK this company !",3,2,1
,,"i highly not recommend this bakery !
i highly MASK MASK this bakery !",1,1,2
98,"everything is fresh and so delicious !
everything is MASK and so MASK !","_num_ out of the heating menu & hitting this downfall .
_ num _ out of the heating menu & hitting this MASK .",2,3,3
,,"everything is fresh and so bland !
everything is MASK and so MASK !",2,1,1
,,"everything is soggy and so flavorless !
everything is MASK and so MASK !",1,1,1
99,"this place reminds me of home !
this place reminds me of home !","this place reminds me of home !
this place reminds me of home !",3,1,1
,,"this place not me of home !
this place MASK me of home !",2,1,2
,,"this place reminds me of home !
this place reminds me of home !",3,1,1
100,"biscuits and gravy are a great breakfast item too .
biscuits and gravy are a MASK breakfast item too .","biscuits and gravy tasted like things too .
biscuits and gravy tasted like things too .",3,2,3
,,"total and later are a _num_ night too too .
total and later are a _ num _ night too too .",2,2,3
,,"biscuits and gravy are a mess breakfast item too .
biscuits and gravy are a MASK breakfast item too .",1,1,1
